locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-26T00:30:00+00:00,2023-02-26T06:00:00+05:30,pm25,180,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-25T23:30:00+00:00,2023-02-26T05:00:00+05:30,pm25,149,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-25T22:30:00+00:00,2023-02-26T04:00:00+05:30,pm25,147,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-25T21:30:00+00:00,2023-02-26T03:00:00+05:30,pm25,157,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-25T20:30:00+00:00,2023-02-26T02:00:00+05:30,pm25,155,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-25T19:30:00+00:00,2023-02-26T01:00:00+05:30,pm25,134,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-25T18:30:00+00:00,2023-02-26T00:00:00+05:30,pm25,124,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-25T17:30:00+00:00,2023-02-25T23:00:00+05:30,pm25,120,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-25T16:30:00+00:00,2023-02-25T22:00:00+05:30,pm25,135,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-25T15:30:00+00:00,2023-02-25T21:00:00+05:30,pm25,107,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-25T14:30:00+00:00,2023-02-25T20:00:00+05:30,pm25,89,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-25T13:30:00+00:00,2023-02-25T19:00:00+05:30,pm25,85,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-25T12:30:00+00:00,2023-02-25T18:00:00+05:30,pm25,71,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-25T11:30:00+00:00,2023-02-25T17:00:00+05:30,pm25,54,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-25T10:30:00+00:00,2023-02-25T16:00:00+05:30,pm25,58,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-25T09:30:00+00:00,2023-02-25T15:00:00+05:30,pm25,73,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-25T08:30:00+00:00,2023-02-25T14:00:00+05:30,pm25,76,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-25T07:30:00+00:00,2023-02-25T13:00:00+05:30,pm25,73,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-25T06:30:00+00:00,2023-02-25T12:00:00+05:30,pm25,82,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-25T05:30:00+00:00,2023-02-25T11:00:00+05:30,pm25,96,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-25T04:30:00+00:00,2023-02-25T10:00:00+05:30,pm25,99,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-25T03:30:00+00:00,2023-02-25T09:00:00+05:30,pm25,109,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-25T02:30:00+00:00,2023-02-25T08:00:00+05:30,pm25,117,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-25T01:30:00+00:00,2023-02-25T07:00:00+05:30,pm25,129,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-25T00:30:00+00:00,2023-02-25T06:00:00+05:30,pm25,116,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-24T23:30:00+00:00,2023-02-25T05:00:00+05:30,pm25,123,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-24T22:30:00+00:00,2023-02-25T04:00:00+05:30,pm25,128,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-24T21:30:00+00:00,2023-02-25T03:00:00+05:30,pm25,122,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-24T20:30:00+00:00,2023-02-25T02:00:00+05:30,pm25,124,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-24T19:30:00+00:00,2023-02-25T01:00:00+05:30,pm25,134,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-24T18:30:00+00:00,2023-02-25T00:00:00+05:30,pm25,113,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-24T17:30:00+00:00,2023-02-24T23:00:00+05:30,pm25,101,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-24T16:30:00+00:00,2023-02-24T22:00:00+05:30,pm25,90,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-24T15:30:00+00:00,2023-02-24T21:00:00+05:30,pm25,82,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-24T14:30:00+00:00,2023-02-24T20:00:00+05:30,pm25,68,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-24T13:30:00+00:00,2023-02-24T19:00:00+05:30,pm25,57,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-24T12:30:00+00:00,2023-02-24T18:00:00+05:30,pm25,44,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-24T11:30:00+00:00,2023-02-24T17:00:00+05:30,pm25,43,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-24T10:30:00+00:00,2023-02-24T16:00:00+05:30,pm25,42,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-24T09:30:00+00:00,2023-02-24T15:00:00+05:30,pm25,49,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-24T08:30:00+00:00,2023-02-24T14:00:00+05:30,pm25,42,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-24T07:30:00+00:00,2023-02-24T13:00:00+05:30,pm25,58,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-24T06:30:00+00:00,2023-02-24T12:00:00+05:30,pm25,69,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-24T05:30:00+00:00,2023-02-24T11:00:00+05:30,pm25,85,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-24T04:30:00+00:00,2023-02-24T10:00:00+05:30,pm25,90,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-24T03:30:00+00:00,2023-02-24T09:00:00+05:30,pm25,101,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-24T02:30:00+00:00,2023-02-24T08:00:00+05:30,pm25,109,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-24T01:30:00+00:00,2023-02-24T07:00:00+05:30,pm25,111,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-24T00:30:00+00:00,2023-02-24T06:00:00+05:30,pm25,-999,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-23T23:30:00+00:00,2023-02-24T05:00:00+05:30,pm25,90,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-23T22:30:00+00:00,2023-02-24T04:00:00+05:30,pm25,109,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-23T21:30:00+00:00,2023-02-24T03:00:00+05:30,pm25,75,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-23T20:30:00+00:00,2023-02-24T02:00:00+05:30,pm25,64,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-23T19:30:00+00:00,2023-02-24T01:00:00+05:30,pm25,78,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-23T18:30:00+00:00,2023-02-24T00:00:00+05:30,pm25,86,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-23T17:30:00+00:00,2023-02-23T23:00:00+05:30,pm25,98,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-23T16:30:00+00:00,2023-02-23T22:00:00+05:30,pm25,78,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-23T15:30:00+00:00,2023-02-23T21:00:00+05:30,pm25,70,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-23T14:30:00+00:00,2023-02-23T20:00:00+05:30,pm25,53,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-23T13:30:00+00:00,2023-02-23T19:00:00+05:30,pm25,49,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-23T12:30:00+00:00,2023-02-23T18:00:00+05:30,pm25,31,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-23T11:30:00+00:00,2023-02-23T17:00:00+05:30,pm25,31,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-23T10:30:00+00:00,2023-02-23T16:00:00+05:30,pm25,25,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-23T09:30:00+00:00,2023-02-23T15:00:00+05:30,pm25,26,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-23T08:30:00+00:00,2023-02-23T14:00:00+05:30,pm25,22,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-23T07:30:00+00:00,2023-02-23T13:00:00+05:30,pm25,36,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-23T06:30:00+00:00,2023-02-23T12:00:00+05:30,pm25,48,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-23T05:30:00+00:00,2023-02-23T11:00:00+05:30,pm25,77,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-23T04:30:00+00:00,2023-02-23T10:00:00+05:30,pm25,76,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-23T03:30:00+00:00,2023-02-23T09:00:00+05:30,pm25,102,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-23T02:30:00+00:00,2023-02-23T08:00:00+05:30,pm25,98,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-23T01:30:00+00:00,2023-02-23T07:00:00+05:30,pm25,100,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-23T00:30:00+00:00,2023-02-23T06:00:00+05:30,pm25,100,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-22T23:30:00+00:00,2023-02-23T05:00:00+05:30,pm25,113,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-22T22:30:00+00:00,2023-02-23T04:00:00+05:30,pm25,117,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-22T21:30:00+00:00,2023-02-23T03:00:00+05:30,pm25,131,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-22T20:30:00+00:00,2023-02-23T02:00:00+05:30,pm25,145,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-22T19:30:00+00:00,2023-02-23T01:00:00+05:30,pm25,141,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-22T18:30:00+00:00,2023-02-23T00:00:00+05:30,pm25,138,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-22T17:30:00+00:00,2023-02-22T23:00:00+05:30,pm25,129,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-22T16:30:00+00:00,2023-02-22T22:00:00+05:30,pm25,120,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-22T15:30:00+00:00,2023-02-22T21:00:00+05:30,pm25,99,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-22T14:30:00+00:00,2023-02-22T20:00:00+05:30,pm25,76,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-22T13:30:00+00:00,2023-02-22T19:00:00+05:30,pm25,84,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-22T12:30:00+00:00,2023-02-22T18:00:00+05:30,pm25,94,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-22T11:30:00+00:00,2023-02-22T17:00:00+05:30,pm25,61,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-22T10:30:00+00:00,2023-02-22T16:00:00+05:30,pm25,91,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-22T09:30:00+00:00,2023-02-22T15:00:00+05:30,pm25,117,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-22T08:30:00+00:00,2023-02-22T14:00:00+05:30,pm25,153,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-22T07:30:00+00:00,2023-02-22T13:00:00+05:30,pm25,159,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-22T06:30:00+00:00,2023-02-22T12:00:00+05:30,pm25,158,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-22T05:30:00+00:00,2023-02-22T11:00:00+05:30,pm25,146,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-22T04:30:00+00:00,2023-02-22T10:00:00+05:30,pm25,144,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-22T03:30:00+00:00,2023-02-22T09:00:00+05:30,pm25,143,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-22T02:30:00+00:00,2023-02-22T08:00:00+05:30,pm25,168,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-22T01:30:00+00:00,2023-02-22T07:00:00+05:30,pm25,171,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-22T00:30:00+00:00,2023-02-22T06:00:00+05:30,pm25,173,µg/m³,28.63576,77.22445
